"day","area","area_id","latitude","longitude","unique_users"
2021-12-13,"Cusago",15097,5032703.17469413,502698.862789512,6537.33333333333
2021-12-13,"Dalmine",16091,5055028.52313295,546903.37155864,22769.6666666667
2021-12-13,"Darfo Boario Terme",17065,5081779.908133,591616.37721385,30406.3333333333
2021-12-13,"Dervio",97030,5102600.54137087,523547.730911731,4240
2021-12-13,"Desenzano Del Garda",17067,5036258.24438915,620297.696327753,36848.6666666667
2021-12-13,"Desio",108023,5051661.63369384,516226.011712425,35589.3333333333
2021-12-13,"Domaso-Vercana",13089,5110883.71328609,525652.4149119,2053
2021-12-13,"Dongo",13090,5107744.55819955,521561.851771216,3720.66666666667
2021-12-13,"Erba",13095,5072929.21808431,516836.889682688,20727
2021-12-13,"Erbusco",17069,5049899.23848506,575823.533483341,9273.66666666667
2021-12-13,"Ferno",12068,5051207.38194459,480862.424135001,7491.33333333333
2021-12-13,"Gallarate",12070,5056281.42893266,483889.273673302,52087
2021-12-13,"Garbagnate Milanese",15105,5047079.47166574,506243.388251051,23731
2021-12-13,"Garbagnate Monastero",97037,5068854.22325477,523546.694046244,3928.66666666667
2021-12-13,"Gardone Riviera",17074,5052875.45338385,621550.839686897,1809.33333333333
2021-12-13,"Gargnano",17076,5060744.11014791,629530.030270797,3725.33333333333
2021-12-13,"Grandate",13110,5069070.23492301,504496.634082058,4302.33333333333
2021-12-13,"Grandola Ed Uniti-Carlazzo",13111,5097695.01616065,515839.823258551,5632
2021-12-13,"Grassobbio",16117,5056218.83638822,556336.535464602,7138
2021-12-13,"Gravedona Ed Uniti",13249,5111583.06256129,514236.021293448,4516
2021-12-13,"Guardamiglio",98029,4995383.97802758,553475.378266884,5434.66666666667
2021-12-13,"Idro",17082,5065972.56398481,615009.463721405,2745
2021-12-13,"Iseo",17085,5056787.17753687,581706.217183796,11650.6666666667
2021-12-13,"Lago Maggiore",200006,5088678.73697572,471647.623850378,85924.6666666667
2021-12-13,"Lago d'Iseo",200005,5065593.3102887,583308.713112292,100264.666666667
2021-12-13,"Lago di Como",200002,5093165.9544575,520513.391085809,244989
2021-12-13,"Lago di Garda",200003,5057925.03110847,631354.318080054,164027
2021-12-13,"Lago di Varese",200004,5073626.73256714,479541.315165458,121017.666666667
2021-12-13,"Lainate",15116,5046377.02647528,502111.743812474,25742.3333333333
2021-12-13,"Laveno-Mombello",12087,5084065.5456961,469906.270385216,8894
2021-12-13,"Lecco",97,5083080.37300598,531961.136257473,263119.666666667
2021-12-13,"Lecco",97042,5083080.37300598,531961.136257473,49263.6666666667
2021-12-13,"Legnano",15118,5049014.78838078,493617.018983718,54210.3333333333
2021-12-13,"Lezzeno",13126,5087963.30464965,515045.382336168,866
2021-12-13,"Lierna-Varenna",97043,5088387.04146359,523439.417930113,741
2021-12-13,"Limbiate",108027,5049435.75585828,509314.853261937,32946.6666666667
2021-12-13,"Limone Sul Garda",17089,5074954.64099276,639185.845704661,2948.33333333333
2021-12-13,"Lissone",108028,5050831.10941486,518779.196705584,38820
2021-12-13,"Livigno",14037,5154471.8811581,587105.551424896,14000.6666666667
2021-12-13,"Lodi",98,5012096.91096234,538575.203893491,188023
2021-12-13,"Lodi",98031,5012096.91096234,538575.203893491,39562.6666666667
2021-12-13,"Lomazzo",13133,5060544.90510151,502830.141273247,13825.3333333333
2021-12-13,"Lonate Pozzolo-Vizzola Ticino",12090,5050475.85956967,477451.145494609,13894.3333333333
2021-12-13,"Lonato Del Garda",17092,5035239.88655219,616061.713821812,18554.3333333333
2021-12-13,"Lovere",16128,5074264.1822823,583530.365700153,8192.33333333333
2021-12-13,"Luino",12092,5093959.09020842,479860.003473147,15266.3333333333
2021-12-13,"Maccagno Con Pino E Veddasca",12142,5102258.71894001,482709.790649456,3265.33333333333
2021-12-13,"Madesimo",14035,5142587.47552373,527533.84487073,629.666666666667
2021-12-13,"Malgrate",97045,5077739.07201695,529137.232202455,2994.33333333333
2021-12-13,"Mandello Del Lario",97046,5085117.80694366,524763.284417531,6055
2021-12-13,"Manerba Del Garda",17102,5045158.84782622,621090.86645269,5578.33333333333
2021-12-13,"Mantova",20,5003111.5354405,631299.090911541,324837.333333333
