"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
"11"," 40.00000000000000"," 56.00000000000000"," 52.00000000000000"," 59.00000000000000"," 52.00000000000000"," 48.00000000000000"," 45.00000000000000"," 53.00000000000000"," 68.00000000000000"," 53.00000000000000"," 55.00000000000000"," 65.00000000000000"," 63.00000000000000"," 46.00000000000000"," 59.00000000000000"," 45.00000000000000"," 41.00000000000000"," 32.00000000000000"," 36.00000000000000"," 55.00000000000000"," 44.00000000000000"," 51.00000000000000"," 56.00000000000000"," 39.00000000000000"," 24.00000000000000"," 36.00000000000000"," 35.00000000000000"," 37.00000000000000"," 52.00000000000000"," 50.00000000000000"," 50.00000000000000"," 53.00000000000000"
"12"," 53.00000000000000"," 62.00000000000000"," 60.00000000000000"," 61.00000000000000"," 63.00000000000000"," 44.00000000000000"," 46.00000000000000"," 36.00000000000000"," 48.00000000000000"," 31.00000000000000"," 37.00000000000000"," 55.00000000000000"," 60.00000000000000"," 48.00000000000000"," 49.00000000000000"," 58.00000000000000"," 27.00000000000000"," 19.00000000000000"," 25.00000000000000"," 24.00000000000000"," 22.00000000000000"," 28.00000000000000"," 26.00000000000000"," 20.00000000000000","  9.00000000000000"," 29.00000000000000"," 36.00000000000000"," 46.00000000000000"," 42.00000000000000"," 36.00000000000000"," 31.00000000000000"," 50.00000000000000"
"13"," 66.00000000000000"," 75.00000000000000"," 74.00000000000000"," 83.00000000000000"," 66.00000000000000"," 50.00000000000000"," 53.00000000000000"," 39.00000000000000"," 53.00000000000000"," 52.00000000000000"," 38.00000000000000"," 52.00000000000000"," 55.00000000000000"," 56.00000000000000"," 61.00000000000000"," 56.00000000000000"," 40.00000000000000"," 50.00000000000000"," 49.00000000000000"," 98.00000000000000"," 54.00000000000000"," 35.00000000000000"," 48.00000000000000","                NA","                NA","                NA","                NA","                NA","                NA"," 59.00000000000000"," 52.00000000000000"," 65.00000000000000"
"14"," 39.00000000000000"," 43.00000000000000"," 37.00000000000000"," 56.00000000000000"," 48.00000000000000"," 41.00000000000000"," 45.00000000000000"," 53.00000000000000"," 41.00000000000000"," 40.00000000000000"," 54.00000000000000"," 56.00000000000000"," 72.00000000000000"," 47.00000000000000"," 39.00000000000000"," 46.00000000000000"," 33.00000000000000"," 44.00000000000000"," 39.00000000000000"," 33.00000000000000"," 40.00000000000000"," 47.00000000000000"," 59.00000000000000"," 29.00000000000000"," 18.00000000000000"," 34.00000000000000"," 47.00000000000000"," 48.00000000000000"," 38.00000000000000"," 30.00000000000000"," 42.00000000000000"," 41.00000000000000"
"15"," 39.00000000000000"," 54.00000000000000"," 48.00000000000000"," 66.00000000000000"," 65.00000000000000"," 45.00000000000000"," 61.00000000000000"," 47.00000000000000"," 62.00000000000000"," 60.00000000000000"," 55.00000000000000"," 69.00000000000000"," 69.00000000000000"," 68.00000000000000"," 39.00000000000000"," 50.00000000000000"," 45.00000000000000"," 36.00000000000000"," 55.00000000000000","104.00000000000000"," 44.00000000000000"," 35.00000000000000"," 45.00000000000000"," 25.00000000000000"," 21.00000000000000"," 23.00000000000000"," 47.00000000000000"," 63.00000000000000"," 60.00000000000000"," 33.00000000000000"," 45.00000000000000"," 59.00000000000000"
"16"," 65.00000000000000"," 67.00000000000000"," 62.00000000000000"," 79.00000000000000"," 61.00000000000000"," 46.00000000000000"," 47.00000000000000","                NA","                NA"," 56.00000000000000"," 42.00000000000000","                NA","                NA","                NA","                NA","                NA"," 41.00000000000000"," 30.00000000000000"," 35.00000000000000"," 60.00000000000000"," 52.00000000000000"," 31.00000000000000"," 49.00000000000000"," 34.00000000000000"," 23.00000000000000"," 27.00000000000000"," 45.00000000000000"," 59.00000000000000"," 66.00000000000000"," 69.00000000000000"," 53.00000000000000"," 62.00000000000000"
"17"," 63.00000000000000"," 79.00000000000000"," 61.00000000000000"," 77.00000000000000"," 72.00000000000000"," 49.00000000000000"," 53.00000000000000"," 44.00000000000000"," 59.00000000000000"," 44.00000000000000"," 49.00000000000000"," 54.00000000000000"," 65.00000000000000"," 66.00000000000000"," 58.00000000000000"," 54.00000000000000"," 45.00000000000000"," 42.00000000000000"," 54.00000000000000","137.00000000000000"," 60.00000000000000"," 37.00000000000000"," 43.00000000000000"," 14.00000000000000"," 14.00000000000000"," 22.00000000000000"," 47.00000000000000"," 56.00000000000000"," 69.00000000000000"," 48.00000000000000"," 66.00000000000000"," 74.00000000000000"
"18"," 53.00000000000000"," 82.00000000000000"," 88.00000000000000"," 70.00000000000000"," 71.00000000000000"," 49.00000000000000"," 36.00000000000000"," 44.00000000000000"," 50.00000000000000"," 40.00000000000000"," 27.00000000000000"," 53.00000000000000"," 60.00000000000000"," 56.00000000000000"," 62.00000000000000"," 76.00000000000000"," 35.00000000000000"," 24.00000000000000"," 26.00000000000000"," 39.00000000000000"," 43.00000000000000"," 35.00000000000000"," 36.00000000000000"," 23.00000000000000"," 16.00000000000000"," 39.00000000000000"," 47.00000000000000"," 55.00000000000000"," 63.00000000000000"," 45.00000000000000"," 57.00000000000000"," 59.00000000000000"
"19"," 47.00000000000000"," 63.00000000000000"," 63.00000000000000"," 62.00000000000000"," 53.00000000000000"," 41.00000000000000"," 43.00000000000000"," 34.00000000000000"," 42.00000000000000"," 45.00000000000000"," 54.00000000000000"," 65.00000000000000"," 57.00000000000000"," 49.00000000000000"," 49.00000000000000"," 61.00000000000000"," 48.00000000000000"," 35.00000000000000"," 38.00000000000000"," 44.00000000000000"," 41.00000000000000"," 43.00000000000000"," 60.00000000000000"," 30.00000000000000"," 28.00000000000000"," 42.00000000000000"," 42.00000000000000"," 60.00000000000000"," 36.00000000000000"," 28.00000000000000"," 44.00000000000000"," 45.00000000000000"
"20"," 37.00000000000000"," 54.00000000000000"," 52.00000000000000"," 58.00000000000000"," 55.00000000000000"," 39.00000000000000"," 51.00000000000000"," 39.00000000000000"," 64.00000000000000","                NA","                NA"," 58.00000000000000"," 65.00000000000000"," 55.00000000000000"," 34.00000000000000"," 49.00000000000000"," 37.00000000000000"," 32.00000000000000"," 45.00000000000000"," 84.00000000000000"," 30.00000000000000"," 29.00000000000000"," 47.00000000000000"," 26.00000000000000"," 18.00000000000000"," 22.00000000000000"," 39.00000000000000"," 53.00000000000000"," 54.00000000000000"," 28.00000000000000"," 42.00000000000000"," 51.00000000000000"
"21","                NA"," 67.00000000000000","                NA","                NA"," 64.00000000000000","                NA","                NA"," 42.00000000000000"," 50.00000000000000"," 44.00000000000000"," 34.00000000000000"," 46.00000000000000"," 48.00000000000000"," 49.00000000000000"," 58.00000000000000"," 51.00000000000000"," 38.00000000000000"," 45.00000000000000"," 43.00000000000000"," 82.00000000000000"," 57.00000000000000"," 36.00000000000000"," 36.00000000000000"," 20.00000000000000"," 20.00000000000000"," 24.00000000000000"," 44.00000000000000"," 50.00000000000000"," 66.00000000000000"," 58.00000000000000"," 52.00000000000000"," 68.00000000000000"
"22","                NA"," 69.00000000000000"," 44.00000000000000"," 45.00000000000000"," 52.00000000000000"," 41.00000000000000"," 38.00000000000000"," 53.00000000000000"," 66.00000000000000"," 41.00000000000000"," 41.00000000000000"," 54.00000000000000","                NA"," 81.00000000000000"," 76.00000000000000"," 48.00000000000000"," 43.00000000000000"," 53.00000000000000"," 55.00000000000000"," 74.00000000000000"," 56.00000000000000"," 57.00000000000000"," 66.00000000000000"," 43.00000000000000"," 23.00000000000000"," 31.00000000000000"," 37.00000000000000"," 53.00000000000000"," 37.00000000000000"," 30.00000000000000"," 40.00000000000000"," 44.00000000000000"
