"","mesh_nodes_x",""
"132"," 8.575457817288282","45.201169350120068"
"133"," 9.311400000000010","44.694067012089853"
"134"," 8.667797573407476","45.233289208474517"
"135"," 8.546640589246266","45.256835306884149"
"136"," 8.764360000092335","45.997888877292091"
"137"," 9.861330992140111","45.145785063734316"
"138"," 9.734549999393781","45.071221074021310"
"139"," 9.686454461115259","45.154826792412500"
"140"," 8.738099999393782","44.998041928068190"
"141"," 8.580366667549812","45.808641706260431"
"142","10.279908921701624","45.107375454293908"
"143","10.487864315790608","45.055919838826739"
"144","10.825908921595810","45.039825473096258"
"145","10.799250001212437","45.724204229391447"
"146","10.496125172748840","46.423287879093792"
"147"," 8.506049999393781","45.318904341170324"
"148"," 8.754955394328972","45.881027723594272"
"149"," 9.775499999999999","45.127970174547059"
"150","10.960111319510576","45.026539063525924"
