"IdSensore","NomeTipoSensore","Idstazione","NomeStazione","Quota","Provincia","Comune","DataStart","DataStop","lat","lng"
"10335","PM10 (SM2005)","709","Vigevano v.Valletta","109","PV","Vigevano","08/08/2007",,"45.30361483","8.84480578"
"6944","PM10 (SM2005)","632","Pizzighettone v.Formigara","45","CR","Pizzighettone","03/02/2000","02/01/2014","45.18169064","9.79339003"
"10083","PM10 (SM2005)","695","Ponti sul Mincio v.San Martino","113","MN","Ponti sul Mincio","20/12/2006",,"45.41277633","10.68336214"
"6937","PM10 (SM2005)","597","Lallio v. Sforzatica","212","BG","Lallio","24/05/2000","01/01/2017","45.65967114","9.61858011"
"6936","PM10 (SM2005)","596","Osio Sotto v.per Levate","182","BG","Osio Sotto","24/05/2000",,"45.62055568","9.61173782"
"6956","PM10 (SM2005)","528","Milano Verziere","116","MI","Milano","01/11/2001",,"45.46334886","9.19532511"
"10501","PM10 (SM2005)","655","Darfo Boario Terme v. De Amicis","221","BS","Darfo Boario Terme","23/12/2008","12/07/2023","45.87460256","10.17736553"
"6910","PM10 (SM2005)","542","Meda v. Gagarin","222","MB","Meda","06/02/1998",,"45.660992","9.160225"
"6958","PM10 (SM2005)","569","Sondrio v.Mazzini","307","SO","Sondrio","08/12/1999",,"46.16797103","9.87014581"
"6934","PM10 (SM2005)","591","Seriate v. Garibaldi","256","BG","Seriate","28/01/2000","12/08/2003","45.68636206","9.71495853"
"10390","PM10 (SM2005)","556","Gallarate  P.zza S.Lorenzo","240","VA","Gallarate","01/01/2003","30/07/2018","45.65746297","8.79757739"
"9891","PM10 (SM2005)","552","Varese v.Vidoletti","425","VA","Varese","01/05/2006","01/04/2010","45.83690178","8.80393513"
"6927","PM10 (SM2005)","574","Lecco v. Amendola","214","LC","Lecco","12/05/2000",,"45.85019631","9.39558125"
"10352","PM10 (SM2005)","517","Turbigo","141","MI","Turbigo","01/01/2008",,"45.52655611","8.73650211"
"10173","PM10 (SM2005)","703","Schivenoglia v. Malpasso",,"MN","Schivenoglia","01/01/2007",,"45.01688067","11.07609728"
"20753","PM10 (SM2005)","1322","DarfoBT","221","BS","Darfo Boario Terme","28/02/2024",,"45.87626097","10.17883506"
"12028","PM10 (SM2005)","642","Pavia v. Folperti","77","PV","Pavia","04/02/2011",,"45.19468231","9.16464919"
"6947","PM10 (SM2005)","643","Pavia p.zza Minerva","77","PV","Pavia","06/06/2002",,"45.18633544","9.14667703"
"6924","PM10 (SM2005)","570","Tirano Viale Italia","439","SO","Tirano","15/12/1999","02/04/2012","46.216293","10.170397"
"9963","PM10 (SM2005)","508","Cassano d'Adda v.di Vona","133","MI","Cassano d'Adda","01/01/2006","12/12/2017","45.52000944","9.51223153"
"6918","PM10 (SM2005)","560","Varese v.Copelli","383","VA","Varese","17/07/2003",,"45.8169745","8.82024911"
"6912","PM10 (SM2005)","546","Magenta v. F. Turati","137","MI","Magenta","25/02/1998",,"45.46242074","8.88021388"
"6909","PM10 (SM2005)","536","Arese v. Matteotti","157","MI","Arese","18/01/2002","30/07/2018","45.54343664","9.08072867"
"6929","PM10 (SM2005)","576","Merate v. Madonna di Loreto","279","LC","Merate","01/01/2000",,"45.69795956","9.40619194"
"10405","PM10 (SM2005)","584","Bergamo v.Garibaldi","249","BG","Bergamo","19/12/2008",,"45.69568669","9.66126061"
"12531","PM10 (SM2005)","1297","Spinadesco v.Battisti","48","CR","Spinadesco","16/02/2011",,"45.15047339","9.93059842"
